id,plan_id/id,code,name,sped_account_type,sped_parent_code,sped_nature,sped_date_start,sped_date_end
ref_1_1_02_03_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01,IMOBILIZADO – AQUISIÇÃO,S,1.02.03,1,2015-01-01,
ref_1_1_02_03_01_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.01,Terrenos,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.02,Edifícios e Construções,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.03,Construções em Andamento - Imóvel Próprio,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_04,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.04,Outras Imobilizações em Andamento,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_05,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.05,Benfeitorias em Imóveis de Terceiros,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_06,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.06,"Máquinas, Equipamentos e Instalações Industriais",A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_07,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.07,"Móveis, Utensílios e Instalações Comerciais",A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_08,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.08,Veículos,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_09,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.09,Embarcações,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_10,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.10,Aeronaves,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_11,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.11,Recursos Minerais,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_12,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.12,Dutos e Tubulações,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_13,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.13,Linhas de Transmissão Elétrica,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_14,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.14,Antenas e Torres de Transmissão,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_15,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.15,Máquinas Empregadas na Atividade Rural,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_16,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.16,Tratores e Demais Veículos Empregados na Atividade Rural,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_28,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.28,Outras Imobilizações por Aquisição,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_30,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.30,(-) Depreciação Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_31,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.31,(-) Amortização Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_32,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.32,(-) Exaustão Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_55,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_75,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.75,(-) Subconta - Ajuste Valor Presente – Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_76,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.76,Subconta - Ajuste Valor Presente – Depreciação Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_77,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.77,Subconta - Ajuste Valor Presente – Amortização Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_78,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.78,Subconta - Ajuste Valor Presente – Exaustão Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_90,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.90,Subconta – Adoção Inicial - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_91,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.91,Subconta – Adoção Inicial – Depreciação Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_92,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.92,Subconta – Adoção Inicial – Amortização Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_93,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.93,Subconta – Adoção Inicial – Exaustão Acumulada - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_95,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.95,Subconta – Adoção Inicial – Taxa Depreciação Diferente - Imobilizado,A,1.02.03.01,1,2015-01-01,
ref_1_1_02_03_01_97,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.97,Subconta - Imobilizado - Gastos da atividade de desenvolvimento da produção de campos de petróleo e gás natural já deduzidos até 01º de janeiro de 2018,A,1.02.03.01,1,2023-01-01,
ref_1_1_02_03_01_98,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.01.98,Subconta - Imobilizado - Gastos da atividade de desenvolvimento da produção de campos de petróleo e gás natural não deduzidos até 01º de janeiro 2018 e os posteriores a esta data,A,1.02.03.01,1,2023-01-01,
ref_1_1_02_03_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02,IMOBILIZADO – BENS OBJETO DE ARRENDAMENTO,S,1.02.03,1,2015-01-01,
ref_1_1_02_03_02_01,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.01,Veículos,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_02,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.02,Embarcações,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_03,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.03,Aeronaves,A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_04,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.04,"Máquinas, Equipamentos e Instalações Industriais",A,1.02.03.02,1,2015-01-01,
ref_1_1_02_03_02_05,l10n_br_account_mapping_sped_lucro_real.plan_referencial_1,1.02.03.02.05,"Móveis, Utensílios e Instalações Comerciais",A,1.02.03.02,1,2015-01-01,
