id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_4929901,4929901,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",2016-07-01,,4929901
cnae_mei_4929902,4929902,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",2016-07-01,,4929902
cnae_mei_4929903,4929903,"Organização de excursões em veículos rodoviários próprios, municipal",2016-07-01,,4929903
cnae_mei_4930201,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",2016-07-01,,4930201
cnae_mei_4930202,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2016-07-01,,4930202
cnae_mei_4930204,4930204,Transporte rodoviário de mudanças,2016-07-01,,4930204
cnae_mei_5011401,5011401,Transporte marítimo de cabotagem - carga,2016-07-01,,5011401
cnae_mei_5021101,5021101,"Transporte por navegação interior de carga, municipal, exceto travessia",2016-07-01,,5021101
cnae_mei_5091201,5091201,"Transporte por navegação de travessia, municipal",2016-07-01,,5091201
cnae_mei_5091202,5091202,"Transporte por navegação de travessia, intermunicipal, interestadual e internacional",2016-07-01,,5091202
cnae_mei_5099801,5099801,Transporte aquaviário para passeios turísticos,2016-07-01,,5099801
cnae_mei_5099899,5099899,Outros transportes aquaviários não especificados anteriormente,2016-07-01,,5099899
cnae_mei_5211702,5211702,Guarda-móveis,2016-07-01,,5211702
cnae_mei_5212500,5212500,Carga e descarga,2016-07-01,,5212500
cnae_mei_5223100,5223100,Estacionamento de veículos,2016-07-01,,5223100
cnae_mei_5229002,5229002,Serviços de reboque de veículos,2016-07-01,,5229002
cnae_mei_5310502,5310502,Atividades de franqueadas do Correio Nacional,2016-07-01,,5310502
cnae_mei_5320201,5320201,Serviços de malote não realizados pelo Correio Nacional,2016-07-01,,5320201
cnae_mei_5320202,5320202,Serviços de entrega rápida,2016-07-01,,5320202
cnae_mei_5590601,5590601,"Albergues, exceto assistenciais",2016-07-01,,5590601
cnae_mei_5590602,5590602,Campings,2016-07-01,,5590602
cnae_mei_5590603,5590603,Pensões (alojamento),2016-07-01,,5590603
cnae_mei_5590699,5590699,Outros alojamentos não especificados anteriormente,2016-07-01,,5590699
cnae_mei_5611201,5611201,Restaurantes e similares,2016-07-01,,5611201
cnae_mei_5611202,5611202,Bares e outros estabelecimentos especializados em servir bebidas,2016-07-01,,5611202
cnae_mei_5611203,5611203,"Lanchonetes, casas de chá, de sucos e similares",2016-07-01,,5611203
cnae_mei_5611204,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",2019-01-01,2020-06-30,5611202
cnae_mei_5611204_279,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",2020-07-01,,5611204
cnae_mei_5611205,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",2019-01-01,2020-06-30,5611202
cnae_mei_5611205_281,5611205,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento",2020-07-01,,5611205
cnae_mei_5612100,5612100,Serviços ambulantes de alimentação,2016-07-01,,5612100
cnae_mei_5620101,5620101,Fornecimento de alimentos preparados preponderantemente para empresas,2016-07-01,,5620101
cnae_mei_5620102,5620102,Serviços de alimentação para eventos e recepções - bufê,2016-07-01,,5620102
cnae_mei_5620103,5620103,Cantinas - serviços de alimentação privativos,2016-07-01,,5620103
cnae_mei_5620104,5620104,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,2016-07-01,,5620104
cnae_mei_5811500,5811500,Edição de livros,2016-07-01,,5811500
cnae_mei_5812301,5812301,Editor de jornais diários,2016-07-01,,5812301
cnae_mei_5812302,5812302,Editor de jornais não diários,2016-07-01,,5812302
cnae_mei_5813100,5813100,Edição de revistas,2016-07-01,,5813100
cnae_mei_5819100,5819100,"Edição de cadastros, listas e de outros produtos gráficos",2016-07-01,,5819100
cnae_mei_5912001,5912001,Serviços de dublagem,2016-07-01,,5912001
cnae_mei_5912099,5912099,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",2016-07-01,,5912099
cnae_mei_6190699,6190699,Outras atividades de telecomunicações não especificadas anteriormente,2016-07-01,,6190699
cnae_mei_6399200,6399200,Outras atividades de prestação de serviços de informação não especificadas anteriormente,2016-07-01,,6399200
cnae_mei_7319002,7319002,Promoção de vendas,2016-07-01,,7319002
cnae_mei_7319003,7319003,Marketing direto,2016-07-01,,7319003
cnae_mei_7319099,7319099,Outras atividades de publicidade não especificadas anteriormente,2016-07-01,,7319099
cnae_mei_7420001,7420001,"Atividades de produção de fotografias, exceto aérea e submarina",2016-07-01,,7420001
cnae_mei_7420002,7420002,Atividades de produção de fotografias aéreas e submarinas,2016-07-01,,7420002
cnae_mei_7420003,7420003,Laboratórios fotográficos,2016-07-01,,7420003
cnae_mei_7420004,7420004,Filmagem de festas e eventos,2016-07-01,,7420004
cnae_mei_7490102,7490102,Escafandria e mergulho,2016-07-01,,7490102
cnae_mei_7719599,7719599,"Locação de outros meios de transporte não especificados anteriormente, sem condutor",2016-07-01,,7719599
cnae_mei_7721700,7721700,Aluguel de equipamentos recreativos e esportivos,2016-07-01,,7721700
cnae_mei_7722500,7722500,"Aluguel de fitas de vídeo, dvds e similares",2016-07-01,,7722500
cnae_mei_7723300,7723300,"Aluguel de objetos do vestuário, jóias e acessórios",2016-07-01,,7723300
cnae_mei_7729201,7729201,Aluguel de aparelhos de jogos eletrônicos,2016-07-01,,7729201
