id,codigo,nome,dt_inicio,dt_fim,nat_rubr,tp_rubr,cod_inc_cp,cod_inc_irrf,cod_inc_fgts,cod_inc_sind,rep_dsr,rep_13,rep_ferias,rep_resc,rep_afast,fator_rubr
rubr_pad_esocial5098,eSocial5098,Desconto do adiantamento de salário,2014-01-01,2021-06-30,9200,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5098_220,eSocial5098,Desconto do adiantamento de salário,2021-07-01,,9200,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5099,eSocial5099,Desconto de adiantamento de férias e adicional de 1/3 no mês,2014-01-01,2016-06-30,9221,2,0,13,0,0,N,N,N,N,N,
rubr_pad_esocial5100,eSocial5100,Alimentação - Desconto,2014-01-01,2021-06-30,9220,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5101,eSocial5101,Desconto - Alimentação - Pecúnia,2014-01-01,,9240,2,11,11,11,0,N,N,N,N,N,
rubr_pad_esocial5102,eSocial5102,Desconto - Alimentação - Ticket ou cartão - Integrantes do PAT,2014-01-01,,9241,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5103,eSocial5103,Desconto - Alimentação - Ticket ou cartão - Não integrante do PAT,2014-01-01,,9242,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5104,eSocial5104,Desconto - Alimentação - Cesta básica ou refeição - Integrantes do PAT,2014-01-01,,9243,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5105,eSocial5105,Desconto - Alimentação - Cesta básica ou refeição - Não integrante do PAT,2014-01-01,,9244,2,0,9,11,0,N,N,N,N,N,
rubr_pad_esocial5110,eSocial5110,Pensão Alimentícia - Mensal,2014-01-01,2018-08-13,9213,2,0,51,0,0,N,N,N,N,N,
rubr_pad_esocial5110_229,eSocial5110,Pensão Alimentícia - Mensal,2018-08-14,,9213,2,0,51,0,0,N,N,N,N,N,
rubr_pad_esocial5111,eSocial5111,Pensão Alimentícia - 13° salário,2014-01-01,2018-08-13,9213,2,0,52,0,0,N,N,N,N,N,
