id,codigo,nome,dt_inicio,dt_fim,cod_rubrica_esocial,campo_fixo,restricao_nao_exibir
rubr_resc_95_1,95.1,DSR - Descanso Semanal Remunerado em Dobro,2014-01-01,2016-11-30,eSocial1220,N,
rubr_resc_95_1_36,95.1,Descanso Semanal e/ou Feriado Trabalhados,2016-12-01,,eSocial1220,N,
rubr_resc_95_2,95.2,Adicional de Viagem do Empregado Doméstico,2014-01-01,,eSocial1340,N,
rubr_resc_95_3,95.3,Intervalo para Repouso e Alimentação não Concedido,2014-01-01,,eSocial1140,N,
rubr_resc_95_4,95.4,Intervalo entre Duas Jornadas de Trabalho não Concedido,2014-01-01,,eSocial1150,N,
rubr_resc_95_5,95.5,Abonos,2014-01-01,,eSocial1600,N,
rubr_resc_95_6,95.6,Outros Adicionais,2014-01-01,,eSocial1350,N,
rubr_resc_95_7,95.7,13º Salário Complementar,2014-01-01,,eSocial1820,N,
rubr_resc_95_8,95.8,Férias Gozadas no Mês,2014-01-01,,eSocial1910,N,
rubr_resc_95_9,95.9,Terço Constitucional de Férias Gozadas no Mês,2014-01-01,,eSocial1920,N,
rubr_resc_95_10,95.10,Abono Pecuniário de Férias,2014-01-01,,eSocial1930,N,
rubr_resc_95_11,95.11,Terço Constitucional de Férias sobre Abono Pecuniário,2014-01-01,,eSocial1940,N,
rubr_resc_95_12,95.12,Férias Gozadas (Reflexo/Dobra),2014-01-01,,eSocial1950,N,
rubr_resc_95_13,95.13,Abono Pecuniário de Férias (Reflexo/Dobra),2014-01-01,,eSocial1955,N,
rubr_resc_95_14,95.14,Indenização por Quebra de Estabilidade,2014-01-01,2016-06-30,eSocial3120,N,
rubr_resc_95_15,95.15,Diferença de Remuneração Mensal,2014-01-01,2016-06-30,eSocial3500,N,
rubr_resc_95_16,95.16,Diferença de 13º Salário,2014-01-01,2016-06-30,eSocial3501,N,
rubr_resc_95_17,95.17,Diferença de Férias Gozadas,2014-01-01,2016-06-30,eSocial3502,N,
rubr_resc_95_18,95.18,Diferença de Verbas Indenizatórias,2014-01-01,2016-06-30,eSocial3503,N,
rubr_resc_95_14_54,95.14,Diferença de Férias Gozadas,2016-07-01,,eSocial3508,N,
rubr_resc_95_15_55,95.15,Diferença do Adicional de 1/3 sobre Férias Gozadas,2016-07-01,,eSocial3509,N,
rubr_resc_95_16_56,95.16,Diferença de Abono Pecuniário de Férias,2016-07-01,,eSocial3510,N,
rubr_resc_95_17_57,95.17,Diferença do Adicional de 1/3 sobre Abono Pecuniário,2016-07-01,,eSocial3511,N,
rubr_resc_95_18_58,95.18,Diferença da Dobra de Férias na Vigência do Contrato,2016-07-01,,eSocial3512,N,
rubr_resc_95_19,95.19,Diferença da Dobra de Abono Pecuniário de Férias,2016-07-01,,eSocial3513,N,
rubr_resc_95_20,95.20,Indenização por Quebra de Estabilidade,2016-07-01,,eSocial3120,N,
