id,codigo,nome,dt_inicio,dt_fim,desc_resumida
cid_c080,C080,Neoplasia maligna da glândula submandibular,2014-01-01,,C08.0 Gland submandibular
cid_c081,C081,Neoplasia maligna da glândula sublingual,2014-01-01,,C08.1 Gland sublingual
cid_c088,C088,Neoplasia maligna das glândulas salivares maiores com lesão invasiva,2014-01-01,,C08.8 Lesao invasiva de gland salivares maiores
cid_c089,C089,"Neoplasia maligna da glândula salivar maior, não especificada",2014-01-01,,C08.9 Gland salivar maior NE
cid_c09,C09,Neoplasia maligna da amígdala,2014-01-01,,C09 Neopl malig da amigdala
cid_c090,C090,Neoplasia maligna da fossa amigdaliana,2014-01-01,,C09.0 Fossa amigdaliana
cid_c091,C091,Neoplasia maligna do pilar amigdaliano (anterior) (posterior),2014-01-01,,C09.1 Pilar amigdaliano
cid_c098,C098,Neoplasia maligna da amígdala com lesão invasiva,2014-01-01,,C09.8 Lesao invasiva da amigdala
cid_c099,C099,"Neoplasia maligna da amígdala, não especificada",2014-01-01,,C09.9 Amigdala NE
cid_c10,C10,Neoplasia maligna da orofaringe,2014-01-01,,C10 Neopl malig da orofaringe
cid_c100,C100,Neoplasia maligna da valécula,2014-01-01,,C10.0 Valecula
cid_c101,C101,Neoplasia maligna da face anterior da epiglote,2014-01-01,,C10.1 Face anterior da epiglote
cid_c102,C102,Neoplasia maligna da parede lateral da orofaringe,2014-01-01,,C10.2 Parede lateral da orofaringe
cid_c103,C103,Neoplasia maligna da parede posterior da orofaringe,2014-01-01,,C10.3 Parede posterior da orofaringe
cid_c104,C104,Neoplasia maligna da fenda branquial,2014-01-01,,C10.4 Fenda branquial
cid_c108,C108,Neoplasia maligna da orofaringe com lesão invasiva,2014-01-01,,C10.8 Lesao invasiva da orofaringe
cid_c109,C109,"Neoplasia maligna da orofaringe, não especificada",2014-01-01,,C10.9 Orofaringe NE
cid_c11,C11,Neoplasia maligna da nasofaringe,2014-01-01,,C11 Neopl malig da nasofaringe
cid_c110,C110,Neoplasia maligna da parede superior da nasofaringe,2014-01-01,,C11.0 Parede super da nasofaringe
cid_c111,C111,Neoplasia maligna da parede posterior da nasofaringe,2014-01-01,,C11.1 Parede posterior da nasofaringe
cid_c112,C112,Neoplasia maligna da parede lateral da nasofaringe,2014-01-01,,C11.2 Parede lateral da nasofaringe
cid_c113,C113,Neoplasia maligna da parede anterior da nasofaringe,2014-01-01,,C11.3 Parede anterior da nasofaringe
cid_c118,C118,Neoplasia maligna da nasofaringe com lesão invasiva,2014-01-01,,C11.8 Lesao invasiva da nasofaringe
cid_c119,C119,"Neoplasia maligna da nasofaringe, não especificada",2014-01-01,,C11.9 Nasofaringe NE
cid_c12,C12,Neoplasia maligna do seio piriforme,2014-01-01,,C12 Neopl malig do seio piriforme
cid_c13,C13,Neoplasia maligna da hipofaringe,2014-01-01,,C13 Neopl malig da hipofaringe
cid_c130,C130,Neoplasia maligna da região pós-cricóidea,2014-01-01,,C13.0 Regiao pos-cricoidea
cid_c131,C131,"Neoplasia maligna da prega ariepiglótica, face hipofaríngea",2014-01-01,,C13.1 Prega ariepiglotica face hipofaringea
cid_c132,C132,Neoplasia maligna da parede posterior da hipofaringe,2014-01-01,,C13.2 Parede posterior da hipofaringe
cid_c138,C138,Neoplasia maligna da hipofaringe com lesão invasiva,2014-01-01,,C13.8 Lesao invasiva da hipofaringe
cid_c139,C139,"Neoplasia maligna da hipofaringe, não especificada",2014-01-01,,C13.9 Hipofaringe NE
cid_c14,C14,"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe",2014-01-01,,C14 Neop mal out loc mal def labio cav oral far
cid_c140,C140,"Neoplasia maligna da faringe, não especificada",2014-01-01,,C14.0 Faringe NE
cid_c142,C142,Neoplasia maligna do anel de Waldeyer,2014-01-01,,C14.2 Anel de Waldeyer
cid_c148,C148,"Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva",2014-01-01,,C14.8 Lesao invasiva labio cavidade oral e faringe
cid_c15,C15,Neoplasia maligna do esôfago,2014-01-01,,C15 Neopl malig do esofago
cid_c150,C150,Neoplasia maligna da porção cervical do esôfago (esôfago cervical),2014-01-01,,C15.0 Porcao cervical do esofago
cid_c151,C151,Neoplasia maligna da porção torácica do esôfago (esôfago torácico),2014-01-01,,C15.1 Porcao toracica do esofago
cid_c152,C152,Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal),2014-01-01,,C15.2 Porcao abdominal do esofago
cid_c153,C153,Neoplasia maligna do terço superior do esôfago,2014-01-01,,C15.3 Terco super do esofago
cid_c154,C154,Neoplasia maligna do terço médio do esôfago,2014-01-01,,C15.4 Terco medio do esofago
cid_c155,C155,Neoplasia maligna do terço inferior do esôfago,2014-01-01,,C15.5 Terco infer do esofago
cid_c158,C158,Neoplasia maligna do esôfago com lesão invasiva,2014-01-01,,C15.8 Lesao invasiva do esofago
cid_c159,C159,"Neoplasia maligna do esôfago, não especificado",2014-01-01,,C15.9 Esofago NE
cid_c16,C16,Neoplasia maligna do estômago,2014-01-01,,C16 Neopl malig do estomago
cid_c160,C160,Neoplasia maligna da cárdia,2014-01-01,,C16.0 Cardia
cid_c161,C161,Neoplasia maligna do fundo do estômago,2014-01-01,,C16.1 Fundo do estomago
cid_c162,C162,Neoplasia maligna do corpo do estômago,2014-01-01,,C16.2 Corpo do estomago
cid_c163,C163,Neoplasia maligna do antro pilórico,2014-01-01,,C16.3 Antro pilorico
cid_c164,C164,Neoplasia maligna do piloro,2014-01-01,,C16.4 Piloro
cid_c165,C165,"Neoplasia maligna da pequena curvatura do estômago, não especificada",2014-01-01,,C16.5 Pequena curvatura do estomago NE
cid_c166,C166,"Neoplasia maligna da grande curvatura do estômago, não especificada",2014-01-01,,C16.6 Grande curvatura do estomago NE
cid_c168,C168,Neoplasia maligna do estômago com lesão invasiva,2014-01-01,,C16.8 Lesao invasiva do estomago
cid_c169,C169,"Neoplasia maligna do estômago, não especificado",2014-01-01,,C16.9 Estomago NE
cid_c17,C17,Neoplasia maligna do intestino delgado,2014-01-01,,C17 Neopl malig do intestino delgado
cid_c170,C170,Neoplasia maligna do duodeno,2014-01-01,,C17.0 Duodeno
cid_c171,C171,Neoplasia maligna do jejuno,2014-01-01,,C17.1 Jejuno
cid_c172,C172,Neoplasia maligna do íleo,2014-01-01,,C17.2 Ileo
cid_c173,C173,Neoplasia maligna do divertículo de Meckel,2014-01-01,,C17.3 Diverticulo de Meckel
cid_c178,C178,Neoplasia maligna do intestino delgado com lesão invasiva,2014-01-01,,C17.8 Lesao invasiva do intestino delgado
cid_c179,C179,"Neoplasia maligna do intestino delgado, não especificado",2014-01-01,,C17.9 Intestino delgado NE
cid_c18,C18,Neoplasia maligna do cólon,2014-01-01,,C18 Neopl malig do colon
cid_c180,C180,Neoplasia maligna do ceco,2014-01-01,,C18.0 Ceco
cid_c181,C181,Neoplasia maligna do apêndice (vermiforme),2014-01-01,,C18.1 Apendice
cid_c182,C182,Neoplasia maligna do cólon ascendente,2014-01-01,,C18.2 Colon ascendente
cid_c183,C183,Neoplasia maligna da flexura (ângulo) hepática(o),2014-01-01,,C18.3 Flexura hepatica
cid_c184,C184,Neoplasia maligna do cólon transverso,2014-01-01,,C18.4 Colon transverso
cid_c185,C185,Neoplasia maligna da flexura (ângulo) esplênica(o),2014-01-01,,C18.5 Flexura esplenica
cid_c186,C186,Neoplasia maligna do cólon descendente,2014-01-01,,C18.6 Colon descendente
cid_c187,C187,Neoplasia maligna do cólon sigmóide,2014-01-01,,C18.7 Colon sigmoide
cid_c188,C188,Neoplasia maligna do cólon com lesão invasiva,2014-01-01,,C18.8 Lesao invasiva do colon
cid_c189,C189,"Neoplasia maligna do cólon, não especificado",2014-01-01,,C18.9 Colon NE
cid_c19,C19,Neoplasia maligna da junção retossigmóide,2014-01-01,,C19 Neopl malig da juncao retossigmoide
cid_c20,C20,Neoplasia maligna do reto,2014-01-01,,C20 Neopl malig do reto
cid_c21,C21,Neoplasia maligna do ânus e do canal anal,2014-01-01,,C21 Neopl malig do anus e do canal anal
cid_c210,C210,"Neoplasia maligna do ânus, não especificado",2014-01-01,,C21.0 Anus NE
cid_c211,C211,Neoplasia maligna do canal anal,2014-01-01,,C21.1 Canal anal
cid_c212,C212,Neoplasia maligna da zona cloacogênica,2014-01-01,,C21.2 Zona cloacogenica
cid_c218,C218,"Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva",2014-01-01,,C21.8 Lesao invasiva do reto anus e do canal anal
cid_c22,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,2014-01-01,,C22 Neopl malig figado vias biliares intra-hepat
cid_c220,C220,Carcinoma de células hepáticas,2014-01-01,,C22.0 Carcinoma de celulas hepaticas
cid_c221,C221,Carcinoma de vias biliares intra-hepáticas,2014-01-01,,C22.1 Carcinoma de vias biliares intra-hepaticas
cid_c222,C222,Hepatoblastoma,2014-01-01,,C22.2 Hepatoblastoma
cid_c223,C223,Angiossarcoma do fígado,2014-01-01,,C22.3 Angiossarcoma do figado
cid_c224,C224,Outros sarcomas do fígado,2014-01-01,,C22.4 Outr sarcomas do figado
cid_c227,C227,Outros carcinomas especificados do fígado,2014-01-01,,C22.7 Outr carcinomas espec do figado
cid_c229,C229,"Neoplasia maligna do fígado, não especificada",2014-01-01,,C22.9 Neopl malig do figado NE
cid_c23,C23,Neoplasia maligna da vesícula biliar,2014-01-01,,C23 Neopl malig da vesicula biliar
cid_c24,C24,"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares",2014-01-01,,C24 Neopl malig outr partes e NE vias biliares
cid_c240,C240,Neoplasia maligna das vias biliares extra-hepáticas,2014-01-01,,C24.0 Vias biliares extra-hepaticas
cid_c241,C241,Neoplasia maligna da ampola de Vater,2014-01-01,,C24.1 Ampola de Vater
cid_c248,C248,Neoplasia maligna das vias biliares com lesão invasiva,2014-01-01,,C24.8 Lesao invasiva das vias biliares
cid_c249,C249,"Neoplasia maligna da via biliar, não especificada",2014-01-01,,C24.9 Via biliar NE
cid_c25,C25,Neoplasia maligna do pâncreas,2014-01-01,,C25 Neopl malig do pancreas
cid_c250,C250,Neoplasia maligna da cabeça do pâncreas,2014-01-01,,C25.0 Cabeca do pancreas
cid_c251,C251,Neoplasia maligna do corpo do pâncreas,2014-01-01,,C25.1 Corpo do pancreas
cid_c252,C252,Neoplasia maligna da cauda do pâncreas,2014-01-01,,C25.2 Cauda do pancreas
cid_c253,C253,Neoplasia maligna do canal pancreático,2014-01-01,,C25.3 Canal pancreatico
cid_c254,C254,Neoplasia maligna do pâncreas endócrino,2014-01-01,,C25.4 Pancreas endocrino
cid_c257,C257,Neoplasia maligna de outras partes do pâncreas,2014-01-01,,C25.7 Neopl malig de outr partes do pancreas
cid_c258,C258,Neoplasia maligna do pâncreas com lesão invasiva,2014-01-01,,C25.8 Lesao invasiva do pancreas
cid_c259,C259,"Neoplasia maligna do pâncreas, não especificado",2014-01-01,,C25.9 Pancreas NE
cid_c26,C26,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo,2014-01-01,,C26 Neopl malig outr mal def aparelho digestivo
cid_c260,C260,"Neoplasia maligna do trato intestinal, parte não especificada",2014-01-01,,C26.0 Trato intestinal parte NE
cid_c261,C261,Neoplasia maligna do baço,2014-01-01,,C26.1 Baco
cid_c268,C268,Neoplasia maligna do aparelho digestivo com lesão invasiva,2014-01-01,,C26.8 Lesao invasiva do aparelho digestivo
cid_c269,C269,Neoplasia maligna de localizações mal definidas dentro do aparelho digestivo,2014-01-01,,C26.9 Localiz mal def dentro aparelho digestivo
cid_c30,C30,Neoplasia maligna da cavidade nasal e do ouvido médio,2014-01-01,,C30 Neopl malig cavidade nasal e do ouvido medio
cid_c300,C300,Neoplasia maligna da cavidade nasal,2014-01-01,,C30.0 Cavidade nasal
cid_c301,C301,Neoplasia maligna do ouvido médio,2014-01-01,,C30.1 Ouvido medio
cid_c31,C31,Neoplasia maligna dos seios da face,2014-01-01,,C31 Neopl malig dos seios da face
cid_c310,C310,Neoplasia maligna do seio maxilar,2014-01-01,,C31.0 Seio maxilar
cid_c311,C311,Neoplasia maligna do seio etmoidal,2014-01-01,,C31.1 Seio etmoidal
cid_c312,C312,Neoplasia maligna do seio frontal,2014-01-01,,C31.2 Seio frontal
cid_c313,C313,Neoplasia maligna do seio esfenoidal,2014-01-01,,C31.3 Seio esfenoidal
cid_c318,C318,Neoplasia maligna dos seios da face com lesão invasiva,2014-01-01,,C31.8 Lesao invasiva dos seios da face
cid_c319,C319,"Neoplasia maligna do seio da face, não especificado",2014-01-01,,C31.9 Seio da face NE
cid_c32,C32,Neoplasia maligna da laringe,2014-01-01,,C32 Neopl malig da laringe
cid_c320,C320,Neoplasia maligna da glote,2014-01-01,,C32.0 Glote
cid_c321,C321,Neoplasia maligna da região supraglótica,2014-01-01,,C32.1 Regiao supraglotica
cid_c322,C322,Neoplasia maligna da região subglótica,2014-01-01,,C32.2 Regiao subglotica
cid_c323,C323,Neoplasia maligna das cartilagens da laringe,2014-01-01,,C32.3 Cartilagens da laringe
cid_c328,C328,Neoplasia maligna da laringe com lesão invasiva,2014-01-01,,C32.8 Lesao invasiva da laringe
cid_c329,C329,"Neoplasia maligna da laringe, não especificada",2014-01-01,,C32.9 Laringe NE
cid_c33,C33,Neoplasia maligna da traquéia,2014-01-01,,C33 Neopl malig da traqueia
cid_c34,C34,Neoplasia maligna dos brônquios e dos pulmões,2014-01-01,,C34 Neopl malig dos bronquios e dos pulmoes
cid_c340,C340,Neoplasia maligna do brônquio principal,2014-01-01,,C34.0 Bronquio principal
cid_c341,C341,"Neoplasia maligna do lobo superior, brônquio ou pulmão",2014-01-01,,C34.1 Lobo super bronquio ou pulmao
cid_c342,C342,"Neoplasia maligna do lobo médio, brônquio ou pulmão",2014-01-01,,C34.2 Lobo medio bronquio ou pulmao
