id,processo,nr_inscricao,dt_inicio,dt_fim
proc_fap_1711090023687011,1711090023687011,01401630000130,2018-01-01,
proc_fap_1711090023688011,1711090023688011,01401630000211,2018-01-01,
proc_fap_1711090023689011,1711090023689011,01401630000483,2018-01-01,
proc_fap_1711060023690011,1711060023690011,00005275000118,2018-01-01,
proc_fap_1711090023691011,1711090023691011,09507195000135,2018-01-01,
proc_fap_1711100023692011,1711100023692011,46721551000145,2018-01-01,
proc_fap_1711100023693011,1711100023693011,02118664000185,2018-01-01,
proc_fap_1711080023694011,1711080023694011,26232744000125,2018-01-01,
proc_fap_1711080023695011,1711080023695011,01080385000107,2018-01-01,
proc_fap_1711100023696011,1711100023696011,37630118000537,2018-01-01,
proc_fap_1711100023697011,1711100023697011,37630118000103,2018-01-01,
proc_fap_1711100023700011,1711100023700011,76622968000111,2018-01-01,
proc_fap_1711060023701011,1711060023701011,12393289000135,2018-01-01,
proc_fap_1711100023702011,1711100023702011,03279946000127,2018-01-01,
proc_fap_1711100023703021,1711100023703021,02068925000108,2018-01-01,
proc_fap_1711090023704011,1711090023704011,92782705000126,2018-01-01,
proc_fap_1711100023705011,1711100023705011,79667655000178,2018-01-01,
proc_fap_1711100023706011,1711100023706011,07600720000137,2018-01-01,
proc_fap_1711010023707011,1711010023707011,57373375000203,2018-01-01,
proc_fap_1711100023708011,1711100023708011,71522460000128,2018-01-01,
proc_fap_1711100023709011,1711100023709011,00694303000151,2018-01-01,
proc_fap_1711010023710011,1711010023710011,76767219000263,2018-01-01,
proc_fap_1711010023716011,1711010023716011,08471163000750,2018-01-01,
proc_fap_1711010023718011,1711010023718011,55905350000199,2018-01-01,
proc_fap_1711100023721011,1711100023721011,09103964000130,2018-01-01,
proc_fap_1711100023728011,1711100023728011,09103964000482,2018-01-01,
proc_fap_1711100023729011,1711100023729011,90467150000445,2018-01-01,
proc_fap_1711100023730011,1711100023730011,84584515000176,2018-01-01,
proc_fap_1711100023731011,1711100023731011,95597571000242,2018-01-01,
proc_fap_1711130023732011,1711130023732011,83050278000109,2018-01-01,
proc_fap_1711010023733011,1711010023733011,84512037000199,2018-01-01,
proc_fap_1711070023734011,1711070023734011,05268526000847,2018-01-01,
proc_fap_1711090023735011,1711090023735011,51169555000100,2018-01-01,
proc_fap_1711130023736011,1711130023736011,84043009000170,2018-01-01,
proc_fap_1711130023737011,1711130023737011,83305052000101,2018-01-01,
proc_fap_1711130023738011,1711130023738011,74606583000135,2018-01-01,
proc_fap_1711130023740011,1711130023740011,78616760000115,2018-01-01,
proc_fap_1711130023741011,1711130023741011,83102491000109,2018-01-01,
proc_fap_1711130023739021,1711130023739021,83310441006662,2018-01-01,
proc_fap_1711130023742011,1711130023742011,07204686000181,2018-01-01,
proc_fap_1711130023743011,1711130023743011,02521510000130,2018-01-01,
proc_fap_1711010023744041,1711010023744041,00453469000500,2018-01-01,
proc_fap_1711100023745011,1711100023745011,82745886000248,2018-01-01,
proc_fap_1711130023746011,1711130023746011,03208166000196,2018-01-01,
proc_fap_1711090023747011,1711090023747011,89238133000104,2018-01-01,
proc_fap_1711130023748011,1711130023748011,43251230000306,2018-01-01,
proc_fap_1711130023749011,1711130023749011,61105474000192,2018-01-01,
